road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
rural,3,0.38,35,daylight,foggy,True,True,evening,True,True,1,0.2
highway,2,0.5,60,daylight,clear,True,False,afternoon,False,True,1,0.36
rural,2,0.95,60,daylight,clear,True,True,afternoon,True,False,0,0.52
rural,4,0.76,25,daylight,rainy,False,False,afternoon,False,True,2,0.34
highway,1,0.43,60,daylight,foggy,False,False,evening,True,True,4,0.53
highway,4,0.05,35,night,foggy,True,False,afternoon,False,True,3,0.39
rural,2,0.17,45,night,foggy,False,False,evening,False,True,1,0.28
urban,4,0.46,25,daylight,clear,True,True,morning,False,True,0,0.16
rural,4,0.81,60,dim,clear,True,False,morning,True,False,2,0.45
rural,2,0.38,45,dim,clear,True,True,morning,True,True,2,0.15
rural,3,0.54,35,daylight,rainy,False,True,evening,True,True,0,0.35
rural,2,0.89,70,dim,rainy,True,False,afternoon,False,True,2,0.56
highway,3,0.91,25,night,rainy,False,False,afternoon,True,False,2,0.52
rural,2,0.22,45,night,clear,True,False,evening,True,False,0,0.28
urban,2,0.04,35,dim,clear,False,True,morning,False,False,1,0.06
highway,2,0.31,35,daylight,clear,True,True,morning,False,True,1,0.08
urban,1,0.7,25,night,foggy,False,True,evening,True,True,2,0.5
urban,3,0.95,25,dim,rainy,True,False,afternoon,True,False,1,0.44
urban,1,0.08,60,dim,rainy,False,False,afternoon,False,False,2,0.42
urban,2,0.03,60,night,foggy,False,False,afternoon,True,True,1,0.49
highway,4,0.88,25,night,foggy,False,True,afternoon,True,False,0,0.52
highway,1,0.75,25,daylight,foggy,True,True,morning,False,True,2,0.32
urban,3,0.99,45,dim,clear,False,False,afternoon,False,True,2,0.34
urban,2,0.4,60,daylight,foggy,True,False,evening,True,True,0,0.48
highway,1,0.42,35,night,clear,True,True,afternoon,True,True,2,0.35
highway,4,0.17,60,dim,clear,False,False,morning,False,True,2,0.22
highway,1,0.12,60,night,rainy,False,False,afternoon,False,True,4,0.61
rural,3,0.58,25,night,foggy,False,False,afternoon,True,False,4,0.61
rural,1,0.36,25,night,clear,False,True,evening,True,False,1,0.29
rural,4,0.08,60,daylight,clear,True,True,afternoon,False,False,0,0.21
urban,4,0.89,70,night,foggy,False,False,afternoon,True,True,2,0.67
rural,3,0.2,70,daylight,clear,False,True,evening,False,False,3,0.36
urban,4,0.75,60,night,clear,True,True,evening,True,False,1,0.64
urban,2,0.28,70,night,clear,False,False,evening,False,True,2,0.59
rural,4,0.81,60,dim,foggy,True,False,evening,False,False,2,0.49
urban,2,0.12,25,night,clear,False,False,morning,False,False,0,0.27
rural,1,0.76,25,dim,rainy,False,False,afternoon,False,True,2,0.38
rural,2,0.1,25,dim,foggy,False,False,afternoon,False,True,0,0.14
highway,2,0.45,35,daylight,rainy,False,True,morning,False,False,0,0.32
rural,1,0.73,25,dim,rainy,True,True,evening,True,True,5,0.46
highway,4,0.17,25,dim,rainy,False,True,afternoon,False,True,0,0.18
rural,2,0.29,60,night,clear,True,True,evening,True,False,3,0.56
rural,4,0.86,70,night,clear,True,True,evening,True,True,2,0.67
highway,1,0.89,70,daylight,rainy,False,False,morning,False,True,2,0.52
highway,3,0.04,25,dim,rainy,False,False,morning,False,False,1,0.06
rural,4,0.17,25,dim,foggy,False,False,evening,True,False,0,0.17
urban,4,0.12,25,daylight,rainy,False,False,afternoon,False,False,1,0.18
highway,3,0.18,60,night,clear,False,True,evening,False,True,1,0.46
urban,3,0.97,60,dim,rainy,True,False,afternoon,True,True,1,0.64
urban,1,0.55,60,daylight,rainy,True,False,evening,False,False,6,0.53
urban,4,0.47,70,night,foggy,False,False,evening,False,False,2,0.71
highway,4,0.98,35,daylight,rainy,False,False,afternoon,False,False,0,0.45
urban,1,0.56,70,daylight,foggy,True,False,morning,False,True,4,0.62
highway,4,0.66,60,dim,foggy,True,True,morning,False,False,3,0.56
urban,2,0.33,45,night,rainy,False,False,evening,True,False,1,0.42
rural,2,0.38,35,dim,rainy,True,True,afternoon,False,True,2,0.33
rural,2,0.59,25,dim,clear,False,True,morning,True,True,2,0.08
highway,4,0.07,70,night,clear,True,False,afternoon,False,False,0,0.42
rural,2,0.26,35,night,foggy,False,True,morning,True,True,2,0.41
rural,2,0.2,45,night,foggy,False,True,afternoon,False,False,5,0.42
urban,1,0.02,35,dim,clear,False,False,evening,False,False,1,0.0
highway,1,0.54,70,night,foggy,True,True,afternoon,False,True,1,0.64
urban,3,0.56,60,night,clear,True,True,evening,False,True,3,0.63
urban,3,0.38,25,night,foggy,True,False,morning,True,False,1,0.44
urban,3,0.27,60,daylight,clear,True,False,afternoon,True,True,2,0.21
urban,3,0.65,60,night,clear,False,False,morning,False,True,1,0.54
urban,1,0.13,70,dim,foggy,False,True,morning,True,False,0,0.3
urban,1,0.52,60,daylight,foggy,True,True,evening,True,True,1,0.53
urban,1,0.77,60,dim,foggy,True,True,afternoon,True,True,0,0.61
highway,2,0.16,70,daylight,rainy,False,True,evening,True,False,2,0.36
rural,2,0.75,70,night,rainy,False,False,afternoon,True,False,1,0.81
urban,3,0.76,45,daylight,foggy,True,False,morning,True,True,3,0.43
urban,2,0.06,60,dim,foggy,True,True,morning,True,True,1,0.4
urban,4,0.02,35,daylight,foggy,True,True,afternoon,False,False,0,0.13
urban,1,0.97,25,night,foggy,False,True,morning,False,False,4,0.7
urban,3,0.19,25,night,clear,False,True,morning,True,True,2,0.22
urban,3,0.82,70,dim,rainy,False,False,evening,True,False,2,0.55
rural,4,0.56,70,daylight,foggy,False,True,morning,True,True,1,0.45
rural,2,0.26,45,dim,rainy,True,False,morning,False,False,1,0.13
urban,3,0.13,60,dim,rainy,False,False,morning,True,False,1,0.3
rural,2,0.5,70,dim,clear,True,False,afternoon,False,True,1,0.36
highway,2,0.41,70,night,foggy,False,True,morning,False,True,1,0.57
urban,4,0.7,25,daylight,rainy,True,False,evening,True,False,2,0.35
highway,3,0.9,60,night,clear,True,False,evening,True,True,2,0.65
highway,2,0.81,45,night,foggy,False,True,evening,False,True,0,0.54
urban,2,0.27,70,night,foggy,True,True,evening,False,True,2,0.62
rural,4,0.88,70,daylight,rainy,True,False,morning,False,True,2,0.49
highway,4,0.83,70,night,clear,False,True,evening,True,True,2,0.51
urban,2,0.93,25,night,clear,True,True,afternoon,True,False,2,0.43
highway,4,0.46,70,night,clear,False,True,afternoon,False,True,3,0.68
highway,2,0.77,70,daylight,clear,False,True,morning,True,True,0,0.46
highway,3,0.59,25,daylight,foggy,False,False,afternoon,False,True,3,0.31
highway,1,0.31,70,dim,rainy,True,False,afternoon,False,True,3,0.46
rural,4,0.99,60,night,rainy,True,True,morning,False,True,2,0.8
highway,1,0.04,60,night,clear,False,False,morning,True,True,2,0.4
highway,2,0.16,25,daylight,clear,False,False,evening,False,True,1,0.08
highway,2,0.89,60,daylight,clear,True,False,evening,False,False,3,0.59
rural,2,0.06,45,night,rainy,False,False,morning,True,True,1,0.39
highway,1,0.89,70,dim,foggy,False,True,afternoon,False,False,2,0.62
highway,2,0.72,45,dim,foggy,False,True,morning,False,True,1,0.33
rural,4,0.04,60,night,clear,True,True,evening,False,True,3,0.52
rural,3,0.43,25,dim,foggy,True,False,morning,False,True,3,0.38
rural,3,0.75,25,dim,foggy,True,True,morning,False,True,4,0.52
highway,4,0.58,45,night,rainy,False,True,afternoon,False,True,2,0.42
rural,3,0.94,60,dim,clear,False,True,morning,False,True,2,0.47
rural,1,0.87,70,daylight,foggy,False,False,evening,False,True,1,0.51
highway,2,0.33,60,night,clear,False,False,morning,False,True,3,0.66
rural,2,0.08,60,daylight,clear,True,False,afternoon,True,False,3,0.36
highway,2,0.94,25,night,foggy,True,False,morning,True,True,0,0.54
urban,1,0.52,35,daylight,rainy,False,False,afternoon,False,False,2,0.28
rural,1,0.07,70,dim,foggy,True,True,morning,True,False,1,0.28
urban,1,0.82,70,daylight,rainy,False,True,afternoon,True,False,1,0.56
highway,4,0.87,25,daylight,foggy,False,False,morning,True,False,1,0.44
rural,1,0.64,60,daylight,clear,True,True,morning,True,False,2,0.42
highway,3,0.45,25,daylight,rainy,True,True,morning,True,False,1,0.3
urban,4,0.66,60,daylight,rainy,False,True,morning,False,False,0,0.57
highway,4,0.71,35,night,clear,False,True,morning,False,False,0,0.36
rural,4,0.89,35,daylight,foggy,True,False,evening,False,True,0,0.46
rural,1,0.96,45,daylight,rainy,True,True,evening,True,True,3,0.44
urban,4,0.51,60,night,foggy,True,False,morning,True,False,2,0.55
highway,1,0.8,25,night,foggy,False,False,afternoon,True,True,1,0.53
rural,1,0.96,25,dim,foggy,True,False,afternoon,True,False,2,0.32
urban,4,0.15,25,daylight,clear,True,False,evening,True,False,3,0.13
rural,2,0.02,45,daylight,foggy,True,True,evening,False,True,0,0.13
rural,2,0.87,70,dim,clear,False,False,evening,False,True,2,0.56
highway,4,0.2,25,daylight,rainy,True,True,afternoon,True,True,0,0.11
rural,2,0.04,35,dim,foggy,True,True,evening,True,True,0,0.07
highway,3,0.16,25,night,rainy,True,False,evening,True,False,2,0.37
rural,3,0.38,25,daylight,foggy,True,False,evening,True,True,0,0.18
urban,1,0.22,25,daylight,rainy,False,False,morning,True,True,1,0.19
rural,2,0.31,70,night,clear,True,False,morning,True,True,1,0.61
highway,3,0.98,25,daylight,rainy,False,False,evening,False,False,0,0.3
highway,4,0.7,70,night,rainy,True,True,afternoon,False,True,1,0.73
urban,2,0.71,70,night,foggy,True,True,morning,False,True,2,0.65
rural,3,0.09,45,dim,foggy,True,False,evening,False,False,1,0.09
rural,3,0.73,35,night,foggy,True,False,morning,False,False,2,0.52
urban,4,0.74,25,dim,foggy,True,False,afternoon,True,False,2,0.32
rural,1,0.66,25,night,clear,True,False,evening,False,False,1,0.4
rural,4,0.23,25,dim,rainy,False,False,evening,True,True,0,0.19
highway,1,0.42,70,dim,rainy,False,False,morning,False,True,0,0.39
rural,3,0.85,60,dim,clear,False,True,evening,False,True,2,0.54
rural,1,0.67,35,dim,rainy,False,True,morning,False,True,0,0.25
urban,3,0.73,25,daylight,foggy,False,False,afternoon,True,False,1,0.33
urban,3,0.59,60,night,foggy,True,False,morning,True,True,2,0.73
highway,2,0.45,60,night,foggy,True,False,evening,False,True,1,0.59
rural,1,0.76,60,night,rainy,True,False,afternoon,False,False,2,0.71
rural,1,0.07,35,night,clear,True,True,afternoon,False,False,1,0.21
rural,1,0.67,60,dim,clear,False,True,afternoon,False,False,2,0.39
highway,4,1.0,25,daylight,rainy,False,False,morning,True,True,3,0.47
highway,2,0.78,25,night,clear,True,True,afternoon,True,False,5,0.56
urban,2,0.29,45,night,clear,True,False,evening,True,True,4,0.39
highway,2,0.28,70,night,foggy,False,True,afternoon,False,False,4,0.67
rural,4,0.67,60,dim,rainy,False,True,afternoon,False,False,0,0.44
rural,1,0.9,70,night,clear,True,False,morning,True,False,1,0.56
highway,1,0.58,70,night,rainy,False,False,morning,False,True,2,0.73
rural,1,0.53,70,daylight,foggy,True,True,evening,True,False,2,0.45
rural,2,0.16,70,dim,foggy,True,True,evening,True,False,2,0.29
highway,2,0.72,70,daylight,clear,False,True,morning,True,True,1,0.47
highway,3,0.7,25,night,rainy,False,True,afternoon,True,True,1,0.4
rural,4,0.97,35,dim,rainy,True,True,morning,False,False,1,0.53
